Ticker,Description,Last,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
300032,JINLONG MACHINERY&,6.32,-1.09546166,-0.07,Strong Buy,24381000,154087920,5132253743,,-0.0563,5635,Electronic Technology
002246,NORTH CHEMICAL IND,10.21,10.02155172,0.93,Strong Buy,7708201,78700732.21000001,5095042705,53.27210103,0.1742,3611,Process Industries
605377,HANGZHOU HUAWANG NEW MATERIAL TECHNOLOGY,17.940001,1.12740135,0.200001,Strong Buy,3235671,58047940.97567099,5092397732,12.45349245,1.4245,855,Process Industries
600035,"HUBEI CHUTIAN SMART COMMUNICATION CO.,LTD.",3.15,0,0,Strong Buy,8139971,25640908.65,5071865064,7.41176471,0.425,1744,Transportation
688246,GOODWILL E-HEALTH INFO,36.560001,-0.57111504,-0.209999,Strong Buy,2571240,94004536.97124,5069755828,,,1681,Distribution Services
600936,GUANGXI RADIO & TELEVISION INFORMAT,3.04,0.99667774,0.03,Strong Buy,21484769,65313697.76,5029788614,,-0.1547,4623,Consumer Services
002547,SUZHOU CHUNXING PR,4.54,2.25225225,0.1,Strong Buy,61947366,281241041.64,5008574259,,-0.839,4783,Distribution Services
002238,SHENZHEN TOPWAY VI,6.3,1.28617363,0.08,Strong Buy,6941300,43730190,4991918081,34.25110132,0.1816,2211,Consumer Services
300213,BEIJING JIAXUN FEI,8.87,5.84725537,0.49,Strong Buy,177772495,1576842030.6499999,4975361659,56.20389001,0.1491,863,Electronic Technology
300349,GOLDCARD SMART GP,12.05,0.41666667,0.05,Strong Buy,3260802,39292664.1,4972840576,61.47540984,0.1952,2189,Electronic Technology
000561,SHAANXI FENGHUOP,8.39,1.82038835,0.15,Strong Buy,11458885,96140045.15,4954723832,50.03035823,0.1647,2913,Commercial Services
300354,DONGHUA TESTING TE,38.25,7.02293749,2.509998,Strong Buy,2586192,98921844,4943564383,60.90661554,0.5868,566,Electronic Technology
600713,NANJING PHARMACEUTICAL COMPANY LIMITED,4.91,3.58649789,0.17,Strong Buy,24179487,118721281.17,4937236878,11.21893491,0.4225,5033,Distribution Services
300147,XIANGXUE PHARMACEU,8.07,7.17131474,0.54,Strong Buy,88731269,716061340.83,4934443203,,-0.0497,3326,Health Technology
000524,GUANGZHOU LINGNAN,7.45,1.36054422,0.1,Strong Buy,2120103,15794767.35,4926032831,,-0.2829,5389,Consumer Services
000973,FSPG HI-TECH C,5.15,1.17878193,0.06,Strong Buy,16606334,85522620.10000001,4924184326,39.36581593,0.1293,3302,Process Industries
000607,ZHEJIANG HUAMEI HO,5.31,9.9378882,0.48,Strong Buy,96251477,511095342.86999995,4915483317,,-0.2728,3070,Consumer Services
603867,"ZHEJIANG XINHUA CHEMICAL CO.,LTD ",36.860001,5.01425385,1.760003,Strong Buy,4470000,164764204.47,4913999786,30.85442862,1.1376,899,Process Industries
002115,SUNWAVE COMMUNICAT,6.02,0.66889632,0.04,Strong Buy,17447267,105032547.33999997,4895578260,71.19047619,0.084,1059,Communications
000558,LANDER SPORTS DEVE,3.85,1.58311346,0.06,Strong Buy,71243133,274286062.05,4886158444,,-0.0901,136,Finance
000525,NANJING RED SUN CO,8.8,5.01193317,0.42,Strong Buy,17346400,152648320,4866876869,,-0.3673,3195,Process Industries
600825,"SHANGHAI XINHUA MEDIA CO., LTD",4.72,1.50537634,0.07,Strong Buy,20769926,98034050.72,4858728450,,-0.2718,1472,Consumer Services
600168,"WUHAN SANZHEN INDUSTRY HOLDING CO.,LTD",6.83,0.29368576,0.02,Strong Buy,5283814,36088449.62,4832169631,26.64319249,0.2556,1027,Utilities
300453,JIANG XI SANXIN ME,12.63,-0.39432177,-0.05,Strong Buy,6833420,86306094.60000001,4829786886,34.33522881,0.3761,1761,Health Technology
002734,LIMIN CHEMICAL CO,13.1,1.08024691,0.14,Strong Buy,3539006,46360978.6,4828034677,17.11568938,0.7572,4245,Process Industries
600826,DLG EXHIBITIONS & EVENTS CORPORATION LIMITED,9.45,5.35117057,0.48,Strong Buy,20093883,189887194.35,4807210602,30.22237197,0.2968,499,Distribution Services
601002,"GEM-YEAR INDUSTRIAL CO.,LTD.",5.17,2.37623762,0.12,Strong Buy,11164838,57722212.46,4803701720,7.99683294,0.6315,2563,Producer Manufacturing
300967,NINGXIA XIAOMING,26.66,4.59003531,1.17,Strong Buy,14013555,373601376.3,4779527813,,,,Process Industries
002067,ZHEJIANG JINGXING,4.04,1,0.04,Strong Buy,20683136,83559869.44,4775692871,10.74402364,0.4053,1956,Process Industries
600479,ZHUZHOU QIANJIN PHARMACEUTICAL,12.55,9.99123576,1.14,Strong Buy,21525307,270142602.85,4775165720,14.80664417,0.7706,4921,Health Technology
600279,"CHONGQING PORT CO.,LTD.",4.07,1.24378109,0.05,Strong Buy,7535300,30668671.00000001,4771202145,83.92484342,0.0479,2553,Transportation
600790,"ZHEJIANG CHINA LIGHT&TEXTILE INDUSTRIAL CITY GROUP CO.,LTD.",3.29,1.23076923,0.04,Strong Buy,9058227,29801566.83,4763820801,12.78018089,0.2543,1052,Process Industries
300813,ZHEJIANG TAILIN BI,100,9.56503044,8.730003,Strong Buy,1721435,172143500,4743301837,81.68799517,1.1173,589,Electronic Technology
000920,VONTRON TECHNOLOGY,11.49,2.49776985,0.28,Strong Buy,19021112,218552576.88,4730620016,32.63464338,0.3435,1357,Utilities
300664,PENGYAO ENVIRONMEN,6.8,0.44313146,0.03,Strong Buy,11995450,81569060,4724798441,11.95901784,0.5661,1328,Producer Manufacturing
601368,GUANGXI NANNING WATERWORKS COMPANY LIMITED.,5.38,1.12781955,0.06,Strong Buy,3691402,19859742.76,4697416956,32.69821758,0.1627,1676,Utilities
002104,HENGBAO CO. LTD.,6.79,1.04166667,0.07,Strong Buy,20828753,141427232.87,4683311905,,-0.0155,1325,Electronic Technology
600636,CHINA REFORM CULTURE HOLDINGS,10.74,0.75046904,0.08,Strong Buy,6430910,69067973.4,4675868331,33.89507154,0.3145,747,Process Industries
002644,LANZHOU FOCI PHARM,10.04,9.96714129,0.91,Strong Buy,20821992,209052799.67999995,4662298587,60.10533246,0.1519,1333,Health Technology
002554,CHINA OIL HBP SCIE,3.81,10.11560694,0.35,Strong Buy,116743199,444791588.19,4660127998,36.11691023,0.0958,1204,Industrial Services
688138,SHENZHEN QINGYI PHOTOMASK LIMITED,19.219999,10.26964429,1.789999,Strong Buy,9874117,189780518.86588305,4650323869,103.99761337,0.1676,395,Electronic Technology
002982,HUNAN XIANGJIA ANI,48.790001,6.92526831,3.16,Strong Buy,2676330,130578143.37632997,4648784383,,-0.1509,6801,Process Industries
603739,QINGDAO VLAND BIOTECH INC ,18.6,0.92240912,0.17,Strong Buy,2539060,47226516,4645923657,32.93423874,0.5596,1430,Health Technology
000815,MCC MEILI CLOUD CO,6.72,0.5988024,0.04,Strong Buy,23231404,156115034.88,4644357132,105.36277603,0.0634,1153,Process Industries
000726,LU THAI TEXTILE CO,6.45,1.57480315,0.1,Strong Buy,9330524,60181879.8,4629870267,22.81710384,0.2844,22583,Process Industries
600819,SHANGHAI YAOHUA PILKINGTON GLASS GROUP,5.58,2.01096892,0.11,Strong Buy,5963019,33273646.02,4628778402,21.93263833,0.2494,2646,Process Industries
900918,SHANGHAI YAOHUA PILKINGTON GLASS GROUP,0.457,1.10619469,0.005,Strong Buy,428600,195870.2,4628778402,11.80156658,0.24696931,2646,Process Industries
688698,"SUZHOU VEICHI ELECTRIC CO.,LTD.",26.82,4.64300057,1.190001,Strong Buy,1881827,50470600.14,4613399849,40.39400946,0.6345,871,Producer Manufacturing
300021,DAYU WATER-SAVING,5.9,1.02739726,0.06,Strong Buy,37987996,224129176.4,4603446776,40.75366364,0.1433,2401,Utilities
300310,EASTONE CENTURY TE,5.28,1.73410405,0.09,Strong Buy,34582898,182597701.44,4574406624,125.06024096,0.0415,6446,Communications
600368,"GUANGXI WUZHOU COMMUNICATIONS CO.,LTD.",4.07,0.24630542,0.01,Strong Buy,9019440,36709120.80000001,4570066181,6.81436724,0.5958,829,Transportation
688687,BEIJING KAWIN TECHNOLOGY SHARE-HOLDING,27.360001,1.89944507,0.510001,Strong Buy,3488444,95443831.328444,4559893005,44.28500742,0.6063,516,Health Technology
603558,"ZHEJIANG JASAN HOLDING GROUP CO.,LTD",11.78,0.3407155,0.04,Strong Buy,2940472,34638760.16,4556158196,,-0.9448,8847,Consumer Non-Durables
688071,SHANGHAI W-IBEDA HIGH TECH.GROUP,65.790001,6.26716362,3.880001,Strong Buy,532324,35021596.492324,4509819844,,,318,Electronic Technology
601188,"HEILONGJIANG TRANSPORT DEVELOPMENT CO., LTD",3.5,2.33918129,0.08,Strong Buy,4020530,14071855,4500304707,19.05292479,0.1795,608,Transportation
300422,GUANGXI BOSSCO ENV,8.99,1.12485939,0.1,Strong Buy,5179211,46561106.89,4488316405,29.70263949,0.2993,4710,Industrial Services
603239,"ZHEJIANG XIANTONG RUBBER & PLASTIC CO.,LTD",17.5,5.74018766,0.950001,Strong Buy,10181314,178172995,4480415814,31.53582127,0.5248,1786,Producer Manufacturing
600088,"CHINA TELEVISION MEDIA,LTD.",11.4,1.24333925,0.14,Strong Buy,8463893,96488380.2,4478174390,,-0.0994,1336,Consumer Services
603365,SHANGHAI SHUIXING HOME TEXTILE,16.83,0.17857739,0.030001,Strong Buy,962500,16198875,4455360003,12.67637441,1.3253,3296,Consumer Durables
002077,JIANGSU DAGANG CO,7.67,0.39267016,0.03,Strong Buy,9499400,72860398,4433863011,28.12960236,0.2716,857,Finance
002334,SHENZHEN INVT ELEC,7.84,0.77120823,0.06,Strong Buy,19438804,152400223.35999998,4421775954,28.62398823,0.2718,3245,Producer Manufacturing
002757,NANXING MACHINERY,15.25,1.93850267,0.29,Strong Buy,6055984,92353756,4420020307,14.17606368,1.0561,1880,Producer Manufacturing
002552,BAODING TECHNOLOGY,14.61,1.24740125,0.18,Strong Buy,2120402,30979073.22,4418932620,565.88235294,0.0255,460,Producer Manufacturing
900916,SHANGHAI PHOENIX ENTERPRISE,0.415,0.72815534,0.003,Strong Buy,200936,83388.44,4413611560,13.24758842,0.20054166,1032,Consumer Durables
002528,SHENZHEN INFINOVA,3.72,1.63934426,0.06,Strong Buy,9348860,34777759.20000001,4387151228,,-0.0783,1543,Electronic Technology
603687,"ZHEJIANG GREAT SHENGDA PACKAGING CO.,LTD.",10.8,1.4084507,0.15,Strong Buy,3778042,40802853.6,4375657062,20.90694935,0.5094,1823,Process Industries
002228,XIAMEN HEXING PACK,3.65,0.82872928,0.03,Strong Buy,5685400,20751710,4374527704,16.03898981,0.2257,10362,Process Industries
300016,BEIJING BEILU PHAR,9.18,3.14606742,0.28,Strong Buy,21246976,195047239.68,4335661649,30.08789723,0.2958,827,Health Technology
600650,SHANGHAI JIN JIANG ONLINE NETWORK SERVICE,9.59,1.05374078,0.1,Strong Buy,1302342,12489459.78,4322581065,18.99519616,0.4996,6904,Transportation
002951,SICHUAN JINSHI TEC,11.74,10.02811621,1.07,Strong Buy,6437214,75572892.36,4321350031,34.86928105,0.306,528,Process Industries
600676,SHANGHAI JIAO YUN GROUP,4.32,3.1026253,0.13,Strong Buy,7776520,33594566.4,4309385393,,-0.0312,5251,Producer Manufacturing
300797,NCS TESTING TECHNO,17.540001,1.74014501,0.300001,Strong Buy,5373609,94253107.233609,4278967891,40.56470588,0.425,924,Commercial Services
